"id","question","created_at","updated_at"
"1","What is an eight-sided sign?","2020-07-17 01:29:17.209341","2020-07-17 01:29:17.209341"
"2","Never park within what distance of a stop sign?","2020-07-17 01:29:17.264703","2020-07-17 01:29:17.264703"
"3","What is the first impairment when drinking alcohol?","2020-07-17 01:29:17.310448","2020-07-17 01:29:17.310448"
"4","What is the legal limit of intoxication for a person under the age of 21?","2020-07-17 01:29:17.372996","2020-07-17 01:29:17.372996"
"5","When approaching a blinking yellow light, what should you do?","2020-07-17 01:29:17.421747","2020-07-17 01:29:17.421747"
"6","What is the minimum following distance behind another vehicle?","2020-07-17 01:29:17.466955","2020-07-17 01:29:17.466955"
"7","When parking uphill with a curb, which way should your wheels be pointed?","2020-07-17 01:29:17.516331","2020-07-17 01:29:17.516331"
"8","If your gas pedal sticks, what is the first thing you should do?","2020-07-17 01:29:17.561679","2020-07-17 01:29:17.561679"
"9","You never park more than what distance from the curb?","2020-07-17 01:29:17.620037","2020-07-17 01:29:17.620037"
"10","The legal limit of intoxication for someone over age 21 is:","2020-07-17 01:29:17.664393","2020-07-17 01:29:17.664393"
"11","When your car pulls to one side while stopping, you should check:","2020-07-17 01:29:17.705465","2020-07-17 01:29:17.705465"
"12","How far ahead should you look while driving in the city?","2020-07-17 01:29:17.755654","2020-07-17 01:29:17.755654"
"13","If the speed limit is 45 and it's raining, you should reduce to what speed?","2020-07-17 01:29:17.773372","2020-07-17 01:29:17.773372"
"14","If your car begins to hydroplane, what is the first thing you should do?","2020-07-17 01:29:17.824579","2020-07-17 01:29:17.824579"
"15","In inclement weather, you must:","2020-07-17 01:29:17.870692","2020-07-17 01:29:17.870692"
"16","How far away should you signal when you turn?","2020-07-17 01:29:17.923175","2020-07-17 01:29:17.923175"
"17","A stop sign is:","2020-07-17 01:29:17.967156","2020-07-17 01:29:17.967156"
"18","How do you signal another driver that their high beams are on?","2020-07-17 01:29:18.010965","2020-07-17 01:29:18.010965"
"19","If you are being blinded by oncoming lights, what should you do?","2020-07-17 01:29:18.066756","2020-07-17 01:29:18.066756"
"20","What does a triangular shaped sign mean?","2020-07-17 01:29:18.108038","2020-07-17 01:29:18.108038"
"21","If you have a broken yellow line on your side of the road:","2020-07-17 01:29:18.1239","2020-07-17 01:29:18.1239"
"22","In which of the following situations may you pass a school bus that is picking up or dropping off children?","2020-07-17 01:29:18.169156","2020-07-17 01:29:18.169156"
